corpus,title,year,table,variable,coef,se,z_abs_extracted,stars,spec,paper_id_nber,verified_ok,pdf_z_abs,comment
published,Regulatory Forbearance in the U.S. Insurance Industry: The Effects of Removing Capital Requirements for an Asset Class,2021,Table 10,Threshold to NAIC-3,0.034,0.009,3.778,***,Col (1) Life,,,,
published,Does Takeover Activity Cause Managerial Discipline? Evidence from International M&amp;A Laws,2015,"Table 6, Panel B",Log age,0.497,,7.021,***,Col (1),,,,
published,Insider Trading Laws and Stock Price Informativeness,2008,Table 6,ENFORCE,0.3946,0.0999,3.95,***,Col (2) - Local model,,,,
published,"Effectiveness of Capital Regulation at U.S. Commercial Banks, 1985 to 1994",2000,"Table VI, Panel B",Δσ_v × (1985-86 dummy),0.69,,13.8,**,"IMM2, ΔIPP",,,,
published,"Why Does the Law Matter? Investor Protection and Its Effects on Investment, Finance, and Growth",2012,Table III,Country variable,0.036,0.013,2.769,**,"Panel B1, Regression 1, Col (3)",,,,
published,Selling Failed Banks,2017,"Table VI, Panel A",Distance (% CRE Loans),-0.011,0.005,2.2,**,Col (4),,,,
nber,"International Innovation and Diffusion of Air Pollution Control Technologies: The Effects of NOX and SO2 Regulation in the US, Japan, and Germany",2004,Table 4,Germany citing US,0.319,0.018,17.72,,Citing/Cited Country Pairs,w10643,,,
nber,Does Shareholder Proxy Access Improve Firm Value? Evidence from the Business Roundtable Challenge,2012,Table 7,Activist institutional ownership,-172.6,308.7,0.559,,Col (3),w17797,,,
nber,Understanding Bank Runs: The Importance of Depositor-Bank Relationships and Networks,2008,Table 2,Distance,-0.006,0.005,1.2,,Fixed deposit (2),w14280,,,
nber,Double Liability at Early American Banks,2015,Table 2,Free banking,0.175,0.086,2.035,*,Col (2),w21494,,,
nber,Safety-Net Benefits Conferred on Difficult-to-Fail-and-Unwind Banks in the US and EU Before and During the Great Recession,2011,6B,Corruption perception index (10-CPI),0.006,,0.7,,US IPP ML,w16787,,,
nber,Monitoring Corruption: Evidence from a Field Experiment in Indonesia,2005,Table 5,Upcoming election,0.144,0.111,1.297,,Col (1),w11753,,,
nber,Bank Stress Testing: Public Interest or Regulatory Capture?,2020,Table 7 Panel A,Political Donations and Lobbying,0.06,0.09,0.667,,Col (3),w26887,,,
nber,Credit Rationing and Pass-Through in Supply Chains: Theory and Evidence from Bangladesh,2020,Table 6,Reform DummySR*Palm Dummy *World Price,-0.663,0.108,6.139,***,Col (1),w26615,,,
nber,The Impact of the Dodd-Frank Act on Small Business,2018,Appendix Table A1,∆LiborSP,-0.039,,2.95,**,Model 2A,w24501,,,
nber,Bank Stress Testing: Public Interest or Regulatory Capture?,2020,Table 5,"Min Distance, DFAST-Bank",0.38,0.1,3.8,***,Col (2),w26887,,,
nber,"Bank Payout Policy, Regulation, and Politics",2024,Table 4,Loan Loss Provision / Lag Assets,-4.036,1.1099,3.64,***,Col (5),w32770,,,
nber,Financial Regulation in a Quantitative Model of the Modern Banking System,2021,Table 2,log(C-bank debt/GDP),0.005,0.003049,1.64,,Col (1),w28501,,,
nber,The Treasury Market in Spring 2020 and the Response of the Federal Reserve,2021,Table 4,Coupon,0.00679,0.0088,0.77,,Col (3),w29128,,,
nber,Does the Structure of Banking Markets Affect Economic Growth? Evidence from U.S. State Banking Markets,2010,IV,Bank Concentration,0.1032,0.0478,2.157,**,(1),w15710,,,
nber,Banks as Lenders of First Resort: Evidence from the COVID-19 Crisis,2020,Table 3,Crisis * Unused C&I comm./(Unused C&I comm.+Assets),0.0177,0.00649,2.723,***,Medium-Sized Banks Col (3),w27256,,,
nber,An Event Study of COVID-19 Central Bank Quantitative Easing in Advanced and Emerging Economies,2020,Table 2,Japan 3/16/2020 - 3-Day FX Impact,-0.13,0.68,0.191,,3-Day,w27339,,,
nber,Understanding Bank Runs: The Importance of Depositor-Bank Relationships and Networks,2008,Table 4,Future loan linkage,-0.008,0.026,0.31,,Fixed deposit (2),w14280,,,
nber,Credit Rationing and Pass-Through in Supply Chains: Theory and Evidence from Bangladesh,2020,Table 4,Reform Dummy*Palm Dummy,49.52,7.097,6.982,***,Col (2),w26615,,,
nber,Bank Stress Testing: Public Interest or Regulatory Capture?,2020,Table 7 Panel A,Trading Bank,0.43,0.32,1.344,,Col (4),w26887,,,
nber,"International Innovation and Diffusion of Air Pollution Control Technologies: The Effects of NOX and SO2 Regulation in the US, Japan, and Germany",2004,Table 5,US citing Japan (post-1990 NOX post-combustion),0.679,,7.46,,Col (2),w10643,,,
nber,The Economic Impacts of COVID-19: Evidence from a New Public Database Built Using Private Sector Data,2020,Appendix Table 6,Income Q4 - Combined 31 Days Post-Stimulus (p.p.),-0.67,3.08,0.218,,"Panel C, Col (3)",w27431,,,
nber,Moral Hazard in Nursing Home Use,2005,Table 2,CON or Moratorium,-0.0007,0.0006,1.167,,Model 1,w11723,,,
nber,Sell Side School Ties,2008,VII,Num. Conn. to Either,0.013,,10.84,,(6),w13973,,,
nber,Safety-Net Benefits Conferred on Difficult-to-Fail-and-Unwind Banks in the US and EU Before and During the Great Recession,2011,8A,V X DFUxp banks in Europe,-0.006,,4.14,**,European (B/V) RV precrisis,w16787,,,
nber,"From Great Depression to Great Credit Crisis: Similarities, Differences and Lessons",2009,Table 2,Fiscal shock #2,0.06,0.018,3.33,**,Total expenditure shock FE #2,w15524,,,
