table,variable,coef,se,z_abs,stars,spec,wp_number,direction,paper_title
Table 3 Panel C,Distance,-0.664,0.09,,***,High CRE (1),w20410,-1,Selling Failed Banks
Table 3 Panel C,Distance,-0.565,0.118,,***,Low CRE (2),w20410,-1,Selling Failed Banks
Table 3 Panel C,Distance,-0.626,0.118,,***,High Residential (3),w20410,-1,Selling Failed Banks
Table 3 Panel C,Distance,-0.575,0.123,,***,Low Residential (4),w20410,-1,Selling Failed Banks
Table 3 Panel C,Distance,-0.625,0.089,,***,High C&I (5),w20410,-1,Selling Failed Banks
Table 3 Panel C,Distance,-0.51,0.018,,***,Low C&I (6),w20410,-1,Selling Failed Banks
Table 4,Distance,-0.475,0.092,,***,(1),w20410,-1,Selling Failed Banks
Table 4,High COD×Distance,-0.238,0.095,,**,(1),w20410,-1,Selling Failed Banks
Table 4,Distance,-0.357,0.139,,**,(2),w20410,-1,Selling Failed Banks
Table 4,COD×Distance,-0.017,0.01,,*,(2),w20410,-1,Selling Failed Banks
Table 4,Distance,-0.668,0.103,,***,(3),w20410,-1,Selling Failed Banks
Table 4,Publicly Traded×Distance,0.341,0.101,,***,(3),w20410,-1,Selling Failed Banks
Table 4,Distance,-0.694,0.129,,***,(4),w20410,-1,Selling Failed Banks
Table 4,Large×Distance,0.267,0.122,,**,(4),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% Residential Loans),-0.012,0.005,,**,(1),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% Residential Loans),-0.005,0.006,,,(5),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% CRE Loans),-0.012,0.005,,***,(2),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% CRE Loans),-0.011,0.005,,**,(5),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% C&I Loans),-0.007,0.008,,,(3),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% C&I Loans),-0.005,0.008,,,(5),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% Consumer Loans),-0.002,0.008,,,(4),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance(% Consumer Loans),0.004,0.007,,,(5),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance,-0.543,0.088,,***,(1),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance,-0.54,0.088,,***,(2),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance,-0.543,0.088,,***,(3),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance,-0.544,0.088,,***,(4),w20410,-1,Selling Failed Banks
Table 5 Panel A,Distance,-0.54,0.088,,***,(5),w20410,-1,Selling Failed Banks
Table 5 Panel B,Fiduciary Business in Both,0.863,0.306,,***,(1),w20410,-1,Selling Failed Banks
Table 5 Panel B,Fiduciary Business in Both,0.989,0.342,,***,(5),w20410,-1,Selling Failed Banks
Table 5 Panel B,Insurance Business in Both,0.772,0.205,,***,(2),w20410,-1,Selling Failed Banks
Table 5 Panel B,Insurance Business in Both,0.748,0.192,,***,(5),w20410,-1,Selling Failed Banks
Table 5 Panel B,Brokerage Business in Both,0.414,0.216,,*,(3),w20410,-1,Selling Failed Banks
Table 5 Panel B,Brokerage Business in Both,0.246,0.228,,,(5),w20410,-1,Selling Failed Banks
Table 5 Panel B,Lease Financing Business in Both,0.065,0.623,,,(4),w20410,-1,Selling Failed Banks
Table 5 Panel B,Lease Financing Business in Both,-0.043,0.64,,,(5),w20410,-1,Selling Failed Banks
Table 5 Panel B,Distance,-0.572,0.097,,***,(1),w20410,-1,Selling Failed Banks
Table 5 Panel B,Distance,-0.582,0.099,,***,(2),w20410,-1,Selling Failed Banks
Table 5 Panel B,Distance,-0.579,0.098,,***,(3),w20410,-1,Selling Failed Banks
Table 5 Panel B,Distance,-0.579,0.098,,***,(4),w20410,-1,Selling Failed Banks
Table 5 Panel B,Distance,-0.58,0.097,,***,(5),w20410,-1,Selling Failed Banks
Table 6,Tier 1 Capital Ratio (potential acquirer),0.004,0.001,,***,(1),w20410,-1,Selling Failed Banks
Table 6,Leverage Ratio (potential acquirer),0.01,0.003,,***,(2),w20410,-1,Selling Failed Banks
Table 6,Distance × P50 Tier 1 Capital Ratio of Local Potential Acquirers,-0.089,0.025,,***,(3),w20410,-1,Selling Failed Banks
Table 6,Distance × % Well-Capitalized Local Potential Acquirers,-0.38,0.117,,***,(4),w20410,-1,Selling Failed Banks
Table 6,Distance CRE × P50 Tier 1 Capital Ratio of CRE close Potential Acquirers,-0.005,0.002,,**,(5),w20410,-1,Selling Failed Banks
Table 6,Distance CRE × % Well-Capitalized CRE close Potential Acquirers,-0.004,0.002,,*,(6),w20410,-1,Selling Failed Banks
Table 6,Distance,-0.626,0.095,,***,(1),w20410,-1,Selling Failed Banks
Table 6,Distance,-0.642,0.087,,***,(2),w20410,-1,Selling Failed Banks
Table 6,Distance,-0.626,0.087,,***,(3),w20410,-1,Selling Failed Banks
Table 6,Distance,-0.642,0.087,,***,(4),w20410,-1,Selling Failed Banks
Table 6,Distance,-0.055,0.097,,***,(5),w20410,-1,Selling Failed Banks
Table 6,Distance,-0.763,0.087,,***,(6),w20410,-1,Selling Failed Banks
Table 6,Distance CRE,-0.01,0.005,,,(5),w20410,-1,Selling Failed Banks
Table 6,Distance CRE,-0.008,0.005,,,(6),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.526,0.069,,***,(1),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.519,0.087,,***,(2),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.527,0.087,,***,(3),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.508,0.131,,**,(4),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.418,0.032,,**,(5),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.344,0.126,,***,(6),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.315,0.126,,***,(7),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.28,0.131,,**,(8),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.27,0.131,,***,(9),w20410,-1,Selling Failed Banks
Table 7,Distance,-0.288,0.026,,***,(10),w20410,-1,Selling Failed Banks
Table 7,Distance CRE,-0.051,0.009,,*,(8),w20410,-1,Selling Failed Banks
Table 7,Distance CRE,-0.01,0.008,,,(9),w20410,-1,Selling Failed Banks
Table 7,Tier 1 Capital Ratio (potential acquirer),0.003,0.001,,,(10),w20410,-1,Selling Failed Banks
A.3,SBI,-0.141,0.014,10.07,***,10-K size (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Public float ($m),0.008,0.001,8.0,***,10-K size (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Ln(sales),0.031,0.007,4.43,***,10-K size (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Leverage,0.036,0.013,2.77,***,10-K size (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Sales growth,-0.0,0.009,0.0,,10-K size (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,ROA,-0.003,0.002,1.5,,10-K size (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,NPPE/Assets,-0.039,0.028,1.39,,10-K size (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,SBI,-11.187,1.337,8.37,***,Part I length (2),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Public float ($m),0.574,0.079,7.27,***,Part I length (2),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Ln(sales),0.81,0.644,1.26,,Part I length (2),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Leverage,0.715,1.037,0.69,,Part I length (2),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Sales growth,1.105,0.738,1.5,,Part I length (2),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,ROA,0.096,0.172,0.56,,Part I length (2),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,NPPE/Assets,-0.373,2.618,0.14,,Part I length (2),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,SBI,-9.637,1.611,5.99,***,Part II length (3),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Public float ($m),0.332,0.096,3.46,***,Part II length (3),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Ln(sales),2.954,0.77,3.84,***,Part II length (3),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Leverage,3.97,1.346,2.95,***,Part II length (3),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Sales growth,0.251,0.849,0.3,,Part II length (3),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,ROA,0.087,0.21,0.41,,Part II length (3),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,NPPE/Assets,-2.31,3.179,0.73,,Part II length (3),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,SBI,71.688,3.534,20.28,***,Part III length (4),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Public float ($m),2.11,0.267,7.9,***,Part III length (4),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Ln(sales),0.729,2.048,0.36,,Part III length (4),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Leverage,15.419,3.512,4.39,***,Part III length (4),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Sales growth,7.749,2.867,2.7,***,Part III length (4),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,ROA,-1.63,0.717,2.27,**,Part III length (4),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,NPPE/Assets,-9.154,8.45,1.08,,Part III length (4),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,SBI,-82.709,2.833,29.2,***,Part IV length (5),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Public float ($m),0.285,0.162,1.76,*,Part IV length (5),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Ln(sales),4.765,1.187,4.01,***,Part IV length (5),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Leverage,6.303,2.343,2.69,***,Part IV length (5),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Sales growth,-2.292,1.453,1.58,,Part IV length (5),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,ROA,-0.513,0.313,1.64,,Part IV length (5),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,NPPE/Assets,0.367,4.861,0.08,,Part IV length (5),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,SBI,-0.041,0.005,8.2,***,DEF14A size (6),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Public float ($m),0.001,0.0,,***,DEF14A size (6),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Ln(sales),-0.002,0.003,0.67,,DEF14A size (6),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Leverage,-0.0,0.008,0.0,,DEF14A size (6),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,Sales growth,-0.007,0.005,1.4,,DEF14A size (6),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,ROA,-0.003,0.002,1.5,*,DEF14A size (6),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.3,NPPE/Assets,-0.029,0.013,2.23,**,DEF14A size (6),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.6,PV of regulatory costs (ln),-0.06498,0.01556,4.18,***,IPO (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.6,Imputed public float (ln),0.25235,0.02508,10.06,***,IPO (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.6,Total funding raised (ln),0.87869,0.03165,27.77,***,IPO (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
A.6,Years since founding,-0.06678,0.00831,8.04,***,IPO (1),w29143,-1,Regulatory costs of being public: Evidence from bunching estimation
Panel D,Treatment×Post,-0.115,,1.77,*,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Panel D,Treatment×Post,-0.264,,3.21,***,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 3,Treatment×Post,-0.139,,2.18,**,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Table 3,Treatment×Post,-0.0191,,0.31,,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 3,Treatment×Post,-0.258,,2.68,***,(3),w28054,0,"Price ceilings, market structure, and payout policies"
Table 3,Treatment×Post,-0.0449,,0.48,,(4),w28054,0,"Price ceilings, market structure, and payout policies"
Table 4,Treatment×Post,0.122,,2.05,**,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Table 4,Treatment×Post,0.056,,0.88,,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 4,Treatment×Post,-0.155,,2.36,**,(3),w28054,0,"Price ceilings, market structure, and payout policies"
Table 4,Treatment×Post,-0.22,,2.75,***,(4),w28054,0,"Price ceilings, market structure, and payout policies"
Table 4,Treatment×Post,0.0171,,0.74,,(5),w28054,0,"Price ceilings, market structure, and payout policies"
Table 4,Treatment×Post,0.0035,,1.0,,(6),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel A,Treatment×Post,0.419,,3.24,***,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel A,Treatment×Post,-0.00752,,0.21,,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel A,Treatment×Post,0.412,,3.01,***,(3),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel A,Treatment×Post,0.341,,3.28,***,(4),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel A,Treatment×Post,0.044,,2.03,**,(5),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel A,Treatment×Post,0.0627,,1.28,,(6),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel B,Treatment×Post,0.437,,2.33,**,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel B,Treatment×Post,0.0404,,1.14,,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel B,Treatment×Post,0.477,,2.51,**,(3),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel B,Treatment×Post,0.359,,2.27,**,(4),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel B,Treatment×Post,0.00189,,0.09,,(5),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel B,Treatment×Post,0.0358,,0.67,,(6),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel C,Treatment×Post,0.578,,2.31,**,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel C,Treatment×Post,-0.0228,,0.64,,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel C,Treatment×Post,0.555,,2.19,**,(3),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel C,Treatment×Post,0.576,,2.76,***,(4),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel C,Treatment×Post,0.0516,,1.83,*,(5),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel C,Treatment×Post,0.124,,1.08,,(6),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel D,Treatment×Post,0.554,,3.37,***,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel D,Treatment×Post,-0.0528,,1.3,,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel D,Treatment×Post,0.501,,2.96,***,(3),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel D,Treatment×Post,0.552,,3.98,***,(4),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel D,Treatment×Post,-0.0249,,1.1,,(5),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel D,Treatment×Post,0.0453,,0.68,,(6),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel E,Treatment×Post,0.413,,1.96,**,(1),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel E,Treatment×Post,0.0837,,1.26,,(2),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel E,Treatment×Post,0.496,,2.24,**,(3),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel E,Treatment×Post,0.179,,0.82,,(4),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel E,Treatment×Post,0.0237,,0.93,,(5),w28054,0,"Price ceilings, market structure, and payout policies"
Table 5 Panel E,Treatment×Post,0.152,,1.58,,(6),w28054,0,"Price ceilings, market structure, and payout policies"
