table,variable,coef,se,z_abs,stars,spec,paper_title,journal,year,direction,positive,negative,estimated,note,t_stat,dependent,panel,leverage_measure,asset_class,pvalue,pvalue_bootstrap,pval
Table (unnamed - main regression),D(Shareholder protection),-0.06,0.01,6.0,***,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),D(Shareholder protection),-0.05,0.02,2.5,***,Col (6),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Bidder M/B,0.0,0.0,0.0,,Col (4),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Mandatory bid rule,-0.06,0.08,0.75,,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),US targets,0.04,0.1,0.4,,Col (6),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),UK targets,-0.1,0.06,1.667,,Col (6),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RFD,-0.3112,,3.51,***,Panel A: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RCHANGE,-0.2743,,6.42,***,Panel A: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,IGRADE,-0.4764,,3.32,***,Panel A: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,DAYS,0.0467,,2.16,**,Panel A: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RFD,0.251,,2.41,**,Panel A: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RCHANGE,-0.0311,,0.54,,Panel A: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,IGRADE,-0.1053,,0.74,,Panel A: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,DAYS,-0.0005,,0.02,,Panel A: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RFD,-0.1675,,1.99,**,Panel B: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RCHANGE,-0.2404,,5.59,***,Panel B: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,IGRADE,-0.2477,,1.78,*,Panel B: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,DAYS,0.0289,,1.36,,Panel B: Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RFD,0.2269,,2.12,**,Panel B: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,RCHANGE,-0.0348,,0.62,,Panel B: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,IGRADE,-0.0732,,0.49,,Panel B: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 5,DAYS,-0.001,,0.04,,Panel B: Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,BCYCLE,0.5254,,3.82,***,Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,RCHANGE,-0.3439,,5.1,***,Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,IGRADE,-0.6195,,2.86,***,Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,DAYS,0.0001,,0.65,,Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,BCYCLE,-0.2473,,1.22,,Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,RCHANGE,-0.1673,,1.8,*,Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,IGRADE,0.0354,,0.14,,Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 6,DAYS,-0.0003,,1.76,*,Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*SIZEL,-0.5134,,3.57,***,Size - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*SIZES,-0.2103,,1.79,*,Size - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RCHANGE,-0.2651,,6.14,***,Size - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,IGRADE,-0.4773,,3.31,***,Size - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,DAYS,0.0469,,2.17,**,Size - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*SIZEL,0.4688,,2.84,***,Size - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*SIZES,0.1057,,0.79,,Size - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RCHANGE,-0.0288,,0.5,,Size - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,IGRADE,-0.126,,0.88,,Size - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,DAYS,-0.0016,,0.06,,Size - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*AFL,-0.5182,,3.71,***,Analysts - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*AFS,-0.1652,,1.42,,Analysts - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RCHANGE,-0.2709,,6.31,***,Analysts - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,IGRADE,-0.4718,,3.28,***,Analysts - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,DAYS,0.0449,,2.08,**,Analysts - Downgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*AFL,0.5151,,3.2,***,Analysts - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RFD*AFS,0.0601,,0.44,,Analysts - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,RCHANGE,-0.028,,0.48,,Analysts - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,IGRADE,-0.1296,,0.91,,Analysts - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 7,DAYS,-0.0037,,0.14,,Analysts - Upgrades,Informational effects of regulation FD: evidence from rating agencies,JFE,2004,1,True,False,,,,,,,,,,
Table 1,"R_reg,t - R_c,t (Aggregate, OLS, col a)",-0.056,0.037,1.514,,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"R_reg,t - R_c,t (Aggregate, OLS, col b)",-0.416,0.055,7.564,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"R_reg,t - R_c,t (Aggregate, MLGARCH, col a)",-0.112,0.028,4.0,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"R_reg,t - R_c,t (Aggregate, MLGARCH, col b)",-0.325,0.037,8.784,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"R_reg,t (Aggregate, OLS, col a)",-0.0,0.0,,,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"R_reg,t (Aggregate, OLS, col b)",0.638,0.038,16.789,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"R_reg,t (Aggregate, MLGARCH, col a)",0.0,0.0,,,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"R_reg,t (Aggregate, MLGARCH, col b)",0.727,0.03,24.233,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Anglian Water (OLS, col a)",-0.165,0.077,2.143,**,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Anglian Water (OLS, col b)",-0.55,0.103,5.339,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Anglian Water (MLGARCH, col a)",-0.238,0.054,4.407,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Anglian Water (MLGARCH, col b)",-0.386,0.07,5.514,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BAA (OLS, col a)",-0.114,0.067,1.701,*,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BAA (OLS, col b)",-0.084,0.091,0.923,,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BAA (MLGARCH, col a)",-0.029,0.042,0.69,,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BAA (MLGARCH, col b)",-0.148,0.067,2.209,**,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (OLS, col a)",-0.001,0.0,,*,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (OLS, col b)",0.677,0.101,6.703,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (OLS, col c)",0.002,0.001,2.0,*,OLS Col (c),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (OLS, col d)",-0.437,0.132,3.311,***,OLS Col (d),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (MLGARCH, col a)",-0.001,0.0,,*,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (MLGARCH, col b)",0.233,0.049,4.755,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (MLGARCH, col c)",0.002,0.001,2.0,***,MLGARCH Col (c),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"BT (MLGARCH, col d)",-0.075,0.085,0.882,,MLGARCH Col (d),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Hyder (OLS, col a)",-0.248,0.111,2.234,**,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Hyder (OLS, col b)",-0.52,0.123,4.228,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Hyder (MLGARCH, col a)",-0.465,0.047,9.894,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Hyder (MLGARCH, col b)",-0.286,0.06,4.767,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Kelda (OLS, col a)",-0.251,0.101,2.486,**,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Kelda (OLS, col b)",-0.516,0.125,4.128,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Kelda (MLGARCH, col a)",-0.323,0.058,5.569,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Kelda (MLGARCH, col b)",-0.385,0.077,5.0,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Grid Company (OLS, col a)",-0.223,0.105,2.124,**,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Grid Company (OLS, col b)",-0.484,0.132,3.667,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Grid Company (MLGARCH, col a)",0.084,0.07,1.2,,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Grid Company (MLGARCH, col b)",-0.34,0.085,4.0,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Power (OLS, col a)",0.054,0.129,0.419,,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Power (OLS, col b)",-0.41,0.159,2.579,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Power (MLGARCH, col a)",0.042,0.052,0.808,,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"National Power (MLGARCH, col b)",-0.342,0.08,4.275,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Pennon (OLS, col a)",-0.4,0.09,4.444,***,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Pennon (OLS, col b)",-0.369,0.102,3.618,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Pennon (MLGARCH, col a)",-0.639,0.031,20.613,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Pennon (MLGARCH, col b)",-0.052,0.049,1.061,,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"PowerGen (OLS, col a)",-0.031,0.08,0.388,,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"PowerGen (OLS, col b)",-0.413,0.113,3.655,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"PowerGen (MLGARCH, col a)",-0.146,0.052,2.808,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"PowerGen (MLGARCH, col b)",-0.227,0.07,3.243,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish Power (OLS, col a)",0.116,0.067,1.731,*,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish Power (OLS, col b)",-0.44,0.099,4.444,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish Power (MLGARCH, col a)",0.008,0.054,0.148,,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish Power (MLGARCH, col b)",-0.334,0.084,3.976,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish & Southern Energy (OLS, col a)",-0.06,0.075,0.8,,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish & Southern Energy (OLS, col b)",-0.553,0.104,5.317,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish & Southern Energy (MLGARCH, col a)",-0.219,0.051,4.294,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Scottish & Southern Energy (MLGARCH, col b)",-0.417,0.067,6.224,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Severn Trent (OLS, col a)",-0.143,0.073,1.959,**,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Severn Trent (OLS, col b)",-0.434,0.1,4.34,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Severn Trent (MLGARCH, col a)",-0.146,0.057,2.561,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Severn Trent (MLGARCH, col b)",-0.393,0.078,5.038,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Thames Water (OLS, col a)",-0.195,0.078,2.5,**,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Thames Water (OLS, col b)",-0.197,0.11,1.791,*,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Thames Water (MLGARCH, col a)",-0.186,0.048,3.875,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Thames Water (MLGARCH, col b)",-0.144,0.058,2.483,**,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"United Utilities (OLS, col a)",0.09,0.068,1.324,,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"United Utilities (OLS, col b)",-0.498,0.103,4.835,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"United Utilities (MLGARCH, col a)",0.024,0.058,0.414,,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"United Utilities (MLGARCH, col b)",-0.455,0.075,6.067,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Viridian (OLS, col a)",-0.318,0.058,5.483,***,OLS Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Viridian (OLS, col b)",-0.407,0.082,4.964,***,OLS Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Viridian (MLGARCH, col a)",-0.36,0.037,9.73,***,MLGARCH Col (a),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 1,"Viridian (MLGARCH, col b)",-0.365,0.06,6.083,***,MLGARCH Col (b),The impact of regulation on market risk,JFE,2005,0,False,False,,,,,,,,,,
Table 6,AS(×10³),-0.2059,,1.52,,Col (1),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,AS(×10³),-0.4919,,2.57,**,Col (2),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,AS(×10³),-0.1407,,1.04,,Col (3),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,AS(×10³),-0.2907,,1.64,,Col (4),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Earning surprise(×10⁻³),2.6357,,4.41,**,Col (2),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Earning surprise(×10⁻³),1.1361,,1.79,*,Col (4),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Earning surprise(×10⁻³),1.1438,,1.77,*,Col (5),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Dispersion(×10⁻³),2.5556,,1.24,,Col (3),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Dispersion(×10⁻³),1.572,,1.29,,Col (4),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Dispersion(×10⁻³),1.6309,,1.33,,Col (5),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Analysts(×10⁻³),-0.0577,,0.49,,Col (3),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Analysts(×10⁻³),-0.0299,,0.37,,Col (4),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Analysts(×10⁻³),-0.0264,,0.32,,Col (5),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Positive earnings(×10⁻³),3.659,,1.92,*,Col (3),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
Table 6,Positive earnings(×10⁻³),-0.4489,,0.32,,Col (4),The economic consequences of increased disclosure: Evidence from international cross-listings☆,JFE,2006,1,True,False,,,,,,,,,,
