table,variable,coef,se,z_abs,stars,spec,paper_title,wp_number,year,direction,positive,negative,published_top3,pvalue,estimated,note,estimated_z,dep_var,panel,p_value,t_stat
Regression Analysis (Text),"Dummy variable (Event window -7 to 0, Henry dates)",,,,,Average across countries,Equity market liberalizations as country IPOs,w9481,2003,-1,False,True,False,,,No specific coefficient/SE reported; descriptive statistics only,,,,,
Regression Analysis (Text),"Dummy variable (First 12-month period post-liberalization, Bekaert-Harvey dates)",0.0423,,,**,Average across countries,Equity market liberalizations as country IPOs,w9481,2003,-1,False,True,False,,True,Significant at 5% level; SE not provided,2.3,,,,
Regression Analysis (Text),"Dummy variable (Fifth 12-month period post-liberalization, Bekaert-Harvey dates)",-0.017,,,**,Average across countries,Equity market liberalizations as country IPOs,w9481,2003,-1,False,True,False,,True,Significant at 5% level; SE not provided,2.3,,,,
Table 3,Sole Authority to Charter Banks,5.76,1.62,3.556,***,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Sole Authority to Charter Banks,8.058,1.633,4.933,***,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Sole Authority to Charter Banks,-0.001,1.608,0.001,,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Sole Authority to Liquidate Banks,-17.04,1.668,10.216,***,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Sole Authority to Liquidate Banks,-16.491,1.65,9.994,***,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Sole Authority to Liquidate Banks,-11.735,1.655,7.087,**,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Supervisors' Term,2.262,0.773,2.926,***,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Supervisors' Term,3.311,0.743,4.454,***,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Supervisors' Term,2.13,0.709,3.004,***,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Banks per Examiner,-0.086,0.05,1.72,*,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Banks per Examiner,-0.08,0.051,1.569,,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Banks per Examiner,-0.029,0.049,0.592,,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Capital Requirement,-0.29,0.053,5.472,***,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Capital Requirement,-0.172,0.053,3.245,***,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Capital Requirement,-0.122,0.052,2.346,**,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Reserve Requirement,-0.15,0.238,0.631,,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Reserve Requirement,-0.089,0.235,0.379,,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Reserve Requirement,0.456,0.225,2.027,**,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,States Prohibiting Branching,7.636,1.715,4.453,***,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,States Prohibiting Branching,6.199,1.729,3.585,***,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,States Prohibiting Branching,6.992,1.618,4.319,***,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Average Deposits per Bank,0.01,0.214,0.047,,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Average Deposits per Bank,0.103,0.217,0.475,,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Average Deposits per Bank,0.184,0.216,0.852,,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Farm Land Value,-0.139,0.027,5.148,***,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Farm Land Value,-0.107,0.027,3.963,***,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Farm Land Value,-0.063,0.026,2.423,**,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Percentage Change in State Personal Income,-0.789,0.121,6.528,***,1929-33_spec2,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 3,Failure Rate for National Banks,3.139,0.197,15.934,***,1929-33_spec3,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 4,Sole Authority to Charter Banks,-0.485,1.555,0.312,,1930-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 4,Sole Authority to Charter Banks,1.567,1.538,1.019,,1929-32,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 4,Sole Authority to Charter Banks,2.777,1.152,2.41,*,1929-30,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
Table 4,Sole Authority to Charter Banks,0.907,1.619,0.56,,1929-33,"Bank Supervision, Regulation, and Instability During the Great Depression",w10475,2004,1,True,False,,,,,,,,,
